	sequence	step	number of pcds	number of points	vegetation inliers	concatenation time	total time
139	043	1	80	14578770	194264	0.5992066860198975	134.74522018432617
140	044	40	2	348860	67613	0.19922661781311035	3.6305267810821533
141	044	20	4	701184	102064	0.1951463222503662	6.424852609634399
142	044	10	8	1404514	20484	0.1987607479095459	11.555956602096558
143	044	5	16	2813903	460052	0.24410271644592285	22.721815586090088
144	044	1	80	14089839	243068	0.5502450466156006	119.25429916381836
145	046	40	2	356504	6447	0.1837317943572998	5.32246470451355
146	046	20	4	694497	14899	0.1738436222076416	6.431844234466553
147	046	10	8	1379627	54635	0.20090675354003906	10.670318603515625
148	046	5	16	2755677	65561	0.2390117645263672	20.024317026138306
149	046	1	80	13759095	349757	0.6365866661071777	99.39382576942444
