	sequence	radius	contour time	total time
77	029	6	0.7694692611694336	14.0615394115448
78	029	8	1.9294536113739014	15.331613302230835
79	029	10	4.425570487976074	17.363430500030518
80	030	2	0.4023289680480957	5.868717670440674
81	030	4	2.8035943508148193	8.39874792098999
82	030	6	11.53191065788269	17.15732479095459
83	030	8	30.254619359970093	35.71149206161499
84	030	10	56.77573204040527	62.495891094207764
85	032	2	0.29914236068725586	6.729458332061768
86	032	4	0.9421703815460205	7.021891355514526
87	032	6	3.9673852920532227	10.033984184265137
88	032	8	14.3548583984375	20.664434671401978
89	032	10	29.266899347305298	35.572314977645874
90	033	2	0.28215551376342773	8.309499979019165
91	033	4	0.45638465881347656	7.693082094192505
92	033	6	1.0563952922821045	8.528705358505249
93	033	8	3.6206510066986084	11.229847431182861
94	033	10	7.444990396499634	14.995847940444946
95	034	2	0.30850815773010254	8.509270429611206
96	034	4	0.5862822532653809	8.561989784240723
97	034	6	2.077993631362915	10.173316955566406
98	034	8	7.377042770385742	15.54492712020874
99	034	10	14.589266538619995	22.583937644958496
100	035	2	0.29467034339904785	8.38423752784729
101	035	4	0.49353981018066406	7.759759187698364
102	035	6	1.390317440032959	8.855650186538696
103	035	8	5.139747858047485	12.60248613357544
104	035	10	9.667895555496216	17.148355722427368
105	037	2	0.27502989768981934	9.592353105545044
106	037	4	0.6057693958282471	9.403800010681152
107	037	6	2.140831470489502	11.085789203643799
108	037	8	7.749201059341431	16.664689540863037
109	037	10	16.033710956573486	24.875253915786743
110	038	2	0.2833995819091797	6.981013774871826
111	038	4	0.6373264789581299	6.710917949676514
112	038	6	2.8851451873779297	9.214131355285645
113	038	8	8.487828493118286	14.743541955947876
114	038	10	16.788893938064575	23.060117483139038
115	039	2	0.29079771041870117	10.333229303359985
116	039	4	0.5352065563201904	10.24121379852295
117	039	6	1.829960823059082	11.48649001121521
118	039	8	6.385002851486206	16.138118028640747
119	039	10	14.642949104309082	24.41564917564392
120	040	2	0.26931285858154297	7.000403881072998
121	040	4	0.505305290222168	6.855347633361816
122	040	6	1.425781011581421	7.704347372055054
123	040	8	5.055062294006348	11.50883674621582
124	040	10	10.684856414794922	16.963783979415894
125	041	2	0.28211522102355957	10.107076644897461
126	041	4	0.4770214557647705	9.51431918144226
127	041	6	1.2788066864013672	10.351997375488281
128	041	8	4.956101655960083	14.165153980255127
129	041	10	10.584782123565674	19.864644527435303
130	042	2	0.280592679977417	9.893301725387573
131	042	4	0.5309867858886719	9.288187026977539
132	042	6	1.3483691215515137	9.961810827255249
133	042	8	3.5970871448516846	12.117909908294678
134	042	10	7.766896486282349	16.588260412216187
135	043	2	0.3044769763946533	11.20559048652649
136	043	4	0.3531618118286133	10.661711931228638
137	043	6	0.7136282920837402	11.013720750808716
138	043	8	1.8038880825042725	12.252947568893433
139	043	10	3.8809592723846436	14.487825632095337
140	044	2	0.2661144733428955	10.716928958892822
141	044	4	0.313037633895874	10.117104053497314
142	044	6	0.5643036365509033	10.730130434036255
143	044	8	1.2183887958526611	11.134177923202515
